epoch 0, loss: 1.252413272857666
epoch 1, loss: 1.243214726448059
epoch 2, loss: 1.2276606559753418
epoch 3, loss: 1.213249683380127
epoch 4, loss: 1.1981568336486816
epoch 5, loss: 1.188277244567871
epoch 6, loss: 1.1798352003097534
epoch 7, loss: 1.1674213409423828
epoch 8, loss: 1.1568694114685059
epoch 9, loss: 1.1492054462432861
epoch 10, loss: 1.1422741413116455
epoch 11, loss: 1.1357557773590088
epoch 12, loss: 1.1298267841339111
epoch 13, loss: 1.1230263710021973
epoch 14, loss: 1.1178498268127441
epoch 15, loss: 1.1118217706680298
epoch 16, loss: 1.1062102317810059
epoch 17, loss: 1.1019399166107178
epoch 18, loss: 1.0980181694030762
epoch 19, loss: 1.093226671218872
epoch 20, loss: 1.0902904272079468
epoch 21, loss: 1.0850777626037598
epoch 22, loss: 1.0838353633880615
epoch 23, loss: 1.0865893363952637
epoch 24, loss: 1.0825607776641846
epoch 25, loss: 1.077763319015503
epoch 26, loss: 1.0773215293884277
epoch 27, loss: 1.0738623142242432
epoch 28, loss: 1.070439100265503
epoch 29, loss: 1.0706796646118164
epoch 30, loss: 1.0715312957763672
epoch 31, loss: 1.0698623657226562
epoch 32, loss: 1.070900559425354
epoch 33, loss: 1.067811369895935
epoch 34, loss: 1.067852258682251
epoch 35, loss: 1.0650546550750732
epoch 36, loss: 1.067672848701477
epoch 37, loss: 1.067369818687439
epoch 38, loss: 1.061150312423706
epoch 39, loss: 1.0629521608352661
epoch 40, loss: 1.0663625001907349
epoch 41, loss: 1.0654640197753906
epoch 42, loss: 1.0642030239105225
epoch 43, loss: 1.0576106309890747
epoch 44, loss: 1.0681449174880981
epoch 45, loss: 1.066934585571289
epoch 46, loss: 1.0587369203567505
epoch 47, loss: 1.0610547065734863
epoch 48, loss: 1.068827748298645
epoch 49, loss: 1.0629053115844727
epoch 50, loss: 1.0617008209228516
epoch 51, loss: 1.0667710304260254
epoch 52, loss: 1.0644248723983765
epoch 53, loss: 1.0605756044387817
epoch 54, loss: 1.0602214336395264
epoch 55, loss: 1.0698845386505127
epoch 56, loss: 1.063963532447815
epoch 57, loss: 1.0626952648162842
epoch 58, loss: 1.0574629306793213
epoch 59, loss: 1.0665946006774902
epoch 60, loss: 1.0658724308013916
epoch 61, loss: 1.057673692703247
epoch 62, loss: 1.0643473863601685
epoch 63, loss: 1.0636199712753296
epoch 64, loss: 1.0608271360397339
epoch 65, loss: 1.057640790939331
epoch 66, loss: 1.067704677581787
epoch 67, loss: 1.0584142208099365
epoch 68, loss: 1.0632343292236328
epoch 69, loss: 1.0716464519500732
epoch 70, loss: 1.060105800628662
epoch 71, loss: 1.066826581954956
epoch 72, loss: 1.0646240711212158
epoch 73, loss: 1.0651450157165527
epoch 74, loss: 1.0646953582763672
epoch 75, loss: 1.0632038116455078
epoch 76, loss: 1.068190336227417
epoch 77, loss: 1.0615332126617432
epoch 78, loss: 1.0625263452529907
epoch 79, loss: 1.0678346157073975
epoch 80, loss: 1.0676428079605103
epoch 81, loss: 1.0649809837341309
epoch 82, loss: 1.076061487197876
epoch 83, loss: 1.0663678646087646
epoch 84, loss: 1.0696310997009277
epoch 85, loss: 1.0781184434890747
epoch 86, loss: 1.060569405555725
epoch 87, loss: 1.0689934492111206
epoch 88, loss: 1.0719408988952637
epoch 89, loss: 1.060873031616211
epoch 90, loss: 1.0760600566864014
epoch 91, loss: 1.0785681009292603
epoch 92, loss: 1.0583221912384033
epoch 93, loss: 1.0627708435058594
epoch 94, loss: 1.075954794883728
epoch 95, loss: 1.071826696395874
epoch 96, loss: 1.0775740146636963
epoch 97, loss: 1.0697726011276245
epoch 98, loss: 1.0644289255142212
epoch 99, loss: 1.076477289199829
epoch 100, loss: 1.071955919265747
epoch 101, loss: 1.0711753368377686
epoch 102, loss: 1.069509744644165
epoch 103, loss: 1.0727906227111816
epoch 104, loss: 1.0663657188415527
epoch 105, loss: 1.0798895359039307
epoch 106, loss: 1.07057523727417
epoch 107, loss: 1.071056842803955
epoch 108, loss: 1.0773718357086182
epoch 109, loss: 1.0800750255584717
epoch 110, loss: 1.0791597366333008
epoch 111, loss: 1.072859525680542
epoch 112, loss: 1.0711963176727295
epoch 113, loss: 1.0869393348693848
epoch 114, loss: 1.0781753063201904
epoch 115, loss: 1.0618805885314941
epoch 116, loss: 1.0816974639892578
epoch 117, loss: 1.0733888149261475
epoch 118, loss: 1.0744707584381104
epoch 119, loss: 1.0754085779190063
epoch 120, loss: 1.0781978368759155
epoch 121, loss: 1.076913595199585
epoch 122, loss: 1.077226161956787
epoch 123, loss: 1.0806872844696045
epoch 124, loss: 1.080939769744873
epoch 125, loss: 1.0775896310806274
epoch 126, loss: 1.0849376916885376
epoch 127, loss: 1.0784300565719604
epoch 128, loss: 1.0772874355316162
epoch 129, loss: 1.0705468654632568
epoch 130, loss: 1.0814859867095947
epoch 131, loss: 1.0773881673812866
epoch 132, loss: 1.0837382078170776
epoch 133, loss: 1.0815026760101318
epoch 134, loss: 1.0799673795700073
epoch 135, loss: 1.0894252061843872
epoch 136, loss: 1.079174280166626
epoch 137, loss: 1.0745835304260254
epoch 138, loss: 1.0835105180740356
epoch 139, loss: 1.0841665267944336
epoch 140, loss: 1.0818859338760376
epoch 141, loss: 1.0814151763916016
epoch 142, loss: 1.094031810760498
epoch 143, loss: 1.0826668739318848
epoch 144, loss: 1.0799953937530518
epoch 145, loss: 1.0883842706680298
epoch 146, loss: 1.0874814987182617
epoch 147, loss: 1.0756827592849731
epoch 148, loss: 1.079901933670044
epoch 149, loss: 1.0958096981048584
epoch 150, loss: 1.09029221534729
epoch 151, loss: 1.0785272121429443
epoch 152, loss: 1.0912277698516846
epoch 153, loss: 1.095484733581543
epoch 154, loss: 1.0775461196899414
epoch 155, loss: 1.0895636081695557
epoch 156, loss: 1.080435037612915
epoch 157, loss: 1.0856807231903076
epoch 158, loss: 1.1034505367279053
epoch 159, loss: 1.079360008239746
epoch 160, loss: 1.0944156646728516
epoch 161, loss: 1.0965251922607422
epoch 162, loss: 1.0762345790863037
epoch 163, loss: 1.09651517868042
epoch 164, loss: 1.0899569988250732
epoch 165, loss: 1.0833203792572021
epoch 166, loss: 1.087915301322937
epoch 167, loss: 1.0959367752075195
epoch 168, loss: 1.0880266427993774
epoch 169, loss: 1.0958905220031738
epoch 170, loss: 1.0899046659469604
