epoch 0, loss: 1.2604846954345703
epoch 1, loss: 1.2601220607757568
epoch 2, loss: 1.2525269985198975
epoch 3, loss: 1.244447946548462
epoch 4, loss: 1.232811450958252
epoch 5, loss: 1.2221312522888184
epoch 6, loss: 1.2116539478302002
epoch 7, loss: 1.202627182006836
epoch 8, loss: 1.1941519975662231
epoch 9, loss: 1.184057354927063
epoch 10, loss: 1.1773440837860107
epoch 11, loss: 1.1693792343139648
epoch 12, loss: 1.1606683731079102
epoch 13, loss: 1.153080701828003
epoch 14, loss: 1.144989252090454
epoch 15, loss: 1.1413012742996216
epoch 16, loss: 1.1352063417434692
epoch 17, loss: 1.1320488452911377
epoch 18, loss: 1.127057433128357
epoch 19, loss: 1.123478889465332
epoch 20, loss: 1.118629813194275
epoch 21, loss: 1.115211009979248
epoch 22, loss: 1.109696626663208
epoch 23, loss: 1.1062551736831665
epoch 24, loss: 1.1083229780197144
epoch 25, loss: 1.1095025539398193
epoch 26, loss: 1.1008803844451904
epoch 27, loss: 1.1009306907653809
epoch 28, loss: 1.0988762378692627
epoch 29, loss: 1.0981417894363403
epoch 30, loss: 1.0953056812286377
epoch 31, loss: 1.0947999954223633
epoch 32, loss: 1.0936717987060547
epoch 33, loss: 1.0988503694534302
epoch 34, loss: 1.0914435386657715
epoch 35, loss: 1.0950461626052856
epoch 36, loss: 1.0917378664016724
epoch 37, loss: 1.0893627405166626
epoch 38, loss: 1.0959997177124023
epoch 39, loss: 1.090067982673645
epoch 40, loss: 1.0950192213058472
epoch 41, loss: 1.093134880065918
epoch 42, loss: 1.0876774787902832
epoch 43, loss: 1.0932857990264893
epoch 44, loss: 1.0902236700057983
epoch 45, loss: 1.0910983085632324
epoch 46, loss: 1.083859920501709
epoch 47, loss: 1.0911948680877686
epoch 48, loss: 1.0922441482543945
epoch 49, loss: 1.0871295928955078

